date,open,high,low,close,volume
11/1/99,136.5,137,135.5625,135.5625,4006500
11/2/99,135.9687,137.25,134.5937,134.5937,6516900
11/3/99,136,136.375,135.125,135.5,7222300
11/4/99,136.75,137.3593,135.7656,136.5312,7907500
11/5/99,138.625,139.1093,136.7812,137.875,7431500
11/8/99,137,138.375,136.75,138,4649200
11/9/99,138.5,138.6875,136.2812,136.7031,4533700
11/10/99,136.25,138.3906,136.0781,137.7187,6405600
11/11/99,138.1875,138.5,137.4687,138.5,4794100
11/12/99,139.25,139.9843,137.125,139.75,11802900
11/15/99,139.8437,140.25,139.4062,140.0781,2187500
11/16/99,140.5625,143,140.0937,141.25,7544800
11/17/99,142.25,142.9375,141.3125,141.625,9459000
11/18/99,142.4375,143,141.625,142.625,4491000
11/19/99,142.4062,142.9687,142,142.5,4832100
11/22/99,142.4375,143,141.5,142.4687,4155400
11/23/99,142.8437,142.8437,140.375,141.2187,5918000
11/24/99,140.75,142.4375,140,141.9687,4459700
11/26/99,142.4687,142.875,141.25,141.4375,1693900
11/29/99,140.875,141.9218,140.4375,140.9375,7348600
11/30/99,140.75,142.3125,139,139.2812,7682000
12/1/99,139.3125,140.5,139,140.4062,6980200
12/2/99,140.625,141.375,140.375,141.25,6698300
12/3/99,143.0312,145.3437,143.0312,143.8437,10045400
12/6/99,143.5312,143.7187,142.25,142.7812,3138900
12/7/99,143.2812,143.3125,141.375,141.625,10714200
12/8/99,141.3437,142.0625,140.5,140.7187,4611400
12/9/99,141.8125,142.2187,139.375,141.4062,6474700
12/10/99,142.2812,142.8125,140.875,141.875,5127300
12/13/99,141.4375,142.7187,141.2812,142.125,4210800
12/14/99,141.625,142.4843,140.625,140.75,5739000
12/15/99,140.375,142.2031,140.0312,141.5,6879100
12/16/99,142.1875,142.6562,141.1562,142.125,5854900
12/17/99,143,143.3125,142.0625,142.6875,4775400
12/20/99,142.5625,143.1875,141.0937,141.6562,4608700
12/21/99,141.5937,144.0625,141.3437,143.8125,7981300
12/22/99,143.625,144.1875,142.9687,144.1875,5377500
12/23/99,145.0156,146.4843,145,146.4843,5721700
12/27/99,146.5,146.7812,145.0625,146.2812,2691000
12/28/99,145.875,146.5,145.4843,146.1875,4084500
12/29/99,146.3125,146.8125,145.3125,146.8125,3001000
12/30/99,147.125,147.5625,146.1875,146.6406,3641300
12/31/99,146.8437,147.5,146.25,146.875,3172700
1/3/00,148.25,148.25,143.875,145.4375,8164300
1/4/00,143.5312,144.0625,139.6406,139.75,8089800
1/5/00,139.9375,141.5312,137.25,140,12177900
1/6/00,139.625,141.5,137.75,137.75,6227200
1/7/00,140.3125,145.75,140.0625,145.75,8066500
1/10/00,146.25,146.9062,145.0312,146.25,5741700
1/11/00,145.8125,146.0937,143.5,144.5,7503700
1/12/00,144.5937,144.5937,142.875,143.0625,6907700
1/13/00,144.4687,145.75,143.2812,145,5158300
1/14/00,146.5312,147.4687,145.9687,146.9687,7437300
1/18/00,145.3437,146.625,145.1875,145.8125,6488500
1/19/00,145.3125,147,145,147,6157900
1/20/00,146.9687,146.9687,143.8125,144.75,5800100
1/21/00,145.5,145.5,144.0625,144.4375,6244800
1/24/00,145.6562,145.8437,139.4062,140.3437,7896900
1/25/00,140.5156,141.9375,139,141.9375,9942500
1/26/00,141,141.5468,140.0937,140.8125,5158100
1/27/00,141.8437,142.2187,138.125,140.25,10922700
1/28/00,139.4375,140.0625,135.5312,135.875,11916200
1/31/00,135.8125,139.6718,135,139.5625,10768700
2/1/00,139.75,141.6875,138.5312,140.9375,8419900
2/2/00,141.2812,142.25,140.375,141.0625,6205900
2/3/00,140.875,143.25,140,143.1875,7997500
2/4/00,143.1875,144,142.125,142.5937,4925400
2/7/00,142.5625,142.7812,141.4375,142.375,5845800
2/8/00,143.9687,144.5625,143.625,144.3125,4936400
2/9/00,144.4687,144.4687,141.2656,141.2812,8511500
2/10/00,141.625,142.5625,140.875,141.5625,6690600
2/11/00,141.8437,141.9375,138.0312,138.6875,9849800
2/14/00,139.7812,139.7812,138.3125,139.5,8528800
2/15/00,139.25,141.2187,137.7968,141.0781,11078300
2/16/00,140.375,140.9375,138.7968,139,8845400
2/17/00,140.4375,140.4375,138.2187,138.2812,7584200
2/18/00,138.875,138.875,134.625,135.3125,9409200
2/22/00,135.1875,136.3437,133.5312,134.9687,16415400
2/23/00,135.625,137.4687,134.5,136.5625,12119000
2/24/00,136.6875,137.0312,133.0937,133.8125,17375000
2/25/00,135.1875,136.7187,133.125,133.3281,10559900
2/28/00,133.375,136.6875,132.7187,136.125,13397800
2/29/00,136.0625,137.4375,135.75,137.4375,8242500
3/1/00,137.625,139,137.2187,138.4375,6868000
3/2/00,138.6875,139.125,137.3437,138.5312,7600200
3/3/00,140.4375,141.7187,139.7187,141.125,12770300
3/6/00,140.8125,141.3437,138.75,139.75,11967100
3/7/00,140,140.1562,135.2187,137.0468,20062000
3/8/00,136.4687,137.8437,135.0312,136.875,11808500
3/9/00,137.25,140.875,136.125,140.875,5500900
3/10/00,140.1875,142,139.5312,140.125,7924600
3/13/00,136.6875,140.4687,135.6875,138.5937,10540500
3/14/00,139.2812,140.0937,136.1562,136.625,8263900
3/15/00,136.875,140.4375,136.0625,139.8125,10300800
3/16/00,141.625,146.8437,140.875,146.3437,25601400
3/17/00,145.8125,148,145.4375,146.9375,10272900
3/20/00,146.875,147.3437,144.7812,146.1875,12502300
3/21/00,145.5312,149.75,144.5,149.1875,13612600
3/22/00,149.5625,150.8437,148.6875,150.0937,8260000
3/23/00,149.1562,153.4687,149.1562,152.6562,11654500
3/24/00,152.875,155.75,151.7187,153.5625,11462900
3/27/00,153.375,153.7812,151.8125,151.9375,8798600
3/28/00,151.25,152.9843,150.5937,151.0625,6334400
3/29/00,151.5625,152.4843,149.6562,151.2187,6747500
3/30/00,150.1562,151.9218,147.125,148.6875,9491900
3/31/00,149.625,152.3125,148.4375,150.375,9249100
4/3/00,150.125,151.25,148.6875,151.25,8508200
4/4/00,151.75,153,141.3906,150.125,19585500
4/5/00,147.875,150.8125,147.625,149.1875,8387200
4/6/00,150.25,151.6875,149,150.4843,6378500
4/7/00,151.5625,152.125,150.5,151.4375,6023600
4/10/00,151.75,153.1093,150.3125,150.8437,9624200
4/11/00,150,151.625,148.375,150.4062,9006400
4/12/00,150.375,151.1562,146.1562,146.2812,10779200
4/13/00,147.4687,148.1562,143.7812,144.25,12225800
4/14/00,142.625,142.8125,133.5,136,29604000
4/17/00,135.1875,140.75,134.6875,140.75,23918200
4/18/00,140.5625,144.4687,139.7812,144.4687,11069200
4/19/00,144.5,145.125,142.5312,143.125,6553700
4/20/00,143.5625,143.9375,142.375,143.8125,8537600
4/24/00,141.5,143.3125,140.5,142.25,12893100
4/25/00,144.625,148.1562,144.4375,148.1562,14102000
4/26/00,147.9687,148.75,146,146.4843,7711100
4/27/00,143,147.3437,143,146,15595300
4/28/00,147,147.8593,145.0625,145.0937,8743400
5/1/00,146.5625,148.4843,145.8437,147.0625,7328300
5/2/00,145.5,147.125,144.125,144.125,9411900
5/3/00,144,144,139.7812,140.75,12630700
5/4/00,142,142.3593,140.75,141.8125,5963600
5/5/00,141.0625,144,140.9375,143.5312,7862400
5/8/00,142.75,143.375,141.8437,142.4531,5064100
5/9/00,143.0625,143.4062,140.2656,141.3125,5620300
5/10/00,140.5,140.9687,137.75,138.125,10293900
5/11/00,140.125,141.5,139.125,141.2812,7091100
5/12/00,141.8125,143.4687,141.625,142.8125,5960800
5/15/00,142.75,145.6093,142,145.2812,4441300
5/16/00,146.5625,147.7187,145.3125,146.6875,8192200
5/17/00,145.6875,146.1875,144.4687,145.1562,5907200
5/18/00,145.625,146.3125,143.375,143.375,4325600
5/19/00,142.5625,143.2343,140.4062,141.125,6518400
5/22/00,141.25,141.4687,137,140.0625,10839400
5/23/00,140.4375,140.8125,137.5625,138,7979200
5/24/00,138,140.6875,136.5,140.25,11081500
5/25/00,140.6875,141.8125,137.7187,137.8437,8278900
5/26/00,138.8125,139.6875,137.3281,138,4814000
5/30/00,140,142.9375,139.4687,142.5,5362700
5/31/00,142.5625,144,142.0937,142.8125,6056500
