Symbol,Security,GICS_Sector,GICS_Sub_Industry,City,State,CIK,Latitude,Longitude
MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul, Minnesota,66740,44.9504037,-93.1015026
ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago, Illinois,1800,42.325578,-87.8411818
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago, Illinois,1551152,42.325578,-87.8411818
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,Danvers, Massachusetts,815094,42.5750946,-70.9300507
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin, Ireland,1467373,53.3497645,-6.2602732
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica, California,718877,34.0250724,-118.4965129
ADBE,Adobe Inc.,Information Technology,Application Software,San Jose, California,796343,37.3361905,-121.8905833
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,Santa Clara, California,2488,37.2333253,-121.6846349
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Raleigh, North Carolina,1158449,35.7803977,-78.6390989
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,874761,32.701939,-97.10562379
AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus, Georgia,4977,39.9622601,-83.0007065
A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara, California,1090872,37.2333253,-121.6846349
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown, Pennsylvania,2969,40.6022059,-75.4712794
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts,1086222,52.2034823,0.1235817
ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle, Washington,766421,47.6038321,-122.3300624
ALB,Albemarle Corp,Materials,Specialty Chemicals,Charlotte, North Carolina,915913,35.2272,-80.843083
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Pasadena, California,1035443,34.1476452,-118.1444779
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Boston, Massachusetts,899866,42.3602534,-71.0582912
ALGN,Align Technology,Health Care,Health Care Supplies,San Jose, California,1097149,37.3361905,-121.8905833
ALLE,Allegion,Industrials,Building Products,Dublin, Ireland,1579241,53.3497645,-6.2602732
LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison, Wisconsin,352541,43.074761,-89.3837613
ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township, Illinois,899051,42.09975,-87.7808967
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Mountain View, California,1652044,37.3893889,-122.0832101
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Mountain View, California,1652044,37.3893889,-122.0832101
MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond, Virginia,764180,37.5385087,-77.43428
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,1018724,47.6038321,-122.3300624
AMCR,Amcor plc,Materials,Paper Packaging,Warmley, Bristol,1748790,51.4605621,-2.4778483
AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis, Missouri,1002910,38.6529545,-90.24111656
AAL,American Airlines Group,Industrials,Airlines,Fort Worth, Texas,6201,32.753177,-97.3327459
AEP,American Electric Power,Utilities,Electric Utilities,Columbus, Ohio,4904,39.9622601,-83.0007065
AXP,American Express Co,Financials,Consumer Finance,New York, New York,4962,40.7127281,-74.0060152
AIG,American International Group,Financials,Property & Casualty Insurance,New York, New York,5272,40.7127281,-74.0060152
AMT,American Tower Corp.,Real Estate,Specialized REITs,Boston, Massachusetts,1053507,42.3602534,-71.0582912
AWK,American Water Works Company Inc,Utilities,Water Utilities,Camden, New Jersey,1410636,39.9448402,-75.1198911
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,820027,44.9772995,-93.2654692
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,1140859,40.0726519,-75.45624634
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,1037868,41.8505874,-87.7936685
AMGN,Amgen Inc.,Health Care,Biotechnology,Thousand Oaks, California,318154,34.17142715,-118.9105877
APH,Amphenol Corp,Information Technology,Electronic Components,Wallingford, Connecticut,820313,51.5982316,-1.1252158
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,Norwood, Massachusetts,6281,40.7055931,-89.6987129
ANSS,ANSYS,Information Technology,Application Software,Canonsburg, Pennsylvania,1013462,40.2625702,-80.1872797
ANTM,Anthem,Health Care,Managed Health Care,Indianapolis, Indiana,1156039,39.7683331,-86.1583502
AON,Aon plc,Financials,Insurance Brokers,London, United Kingdom,315293,51.5073219,-0.1276474
AOS,A.O. Smith Corp,Industrials,Building Products,Milwaukee, Wisconsin,91142,43.0349931,-87.922497
