id,Date,stock_open,stock_high,stock_low,stock_close,stock_volume,stock_dividends,stock_splits,price_change_dollar,price_change_pct,price_swing,volume_change,volume_change_pct,price_change_binary
0,2/1/1993,26.09820487,26.26514435,26.09820487,26.26514435,480500,0,0,0.18548584,0.711228024,0.166939477,-522700,-52.10326954,1
1,2/2/1993,26.24658641,26.33933053,26.19093994,26.32078171,201300,0,0,0.05563736,0.211829636,0.148390595,-279200,-58.10613944,1
2,2/3/1993,26.35787956,26.61756311,26.33933074,26.59901428,529400,0,0,0.278232574,1.057083249,0.278232367,328100,162.9905614,1
3,2/4/1993,26.69176306,26.76595837,26.39498182,26.71031189,531500,0,0,0.111297607,0.418427564,0.370976554,2100,0.396675482,1
4,2/5/1993,26.69177055,26.74741705,26.54337989,26.69177055,492100,0,0,-0.018541336,-0.069416397,0.204037162,-39400,-7.412982126,0
5,2/8/1993,26.69177055,26.78451472,26.65467289,26.69177055,596100,0,0,0,0,0.12984183,104000,21.13391587,0
6,2/9/1993,26.59900783,26.59900783,26.45061727,26.50626373,122100,0,0,-0.185506821,-0.694996311,0.14839056,-474000,-79.51685959,0
7,2/10/1993,26.50627926,26.56192575,26.43208394,26.54337692,379600,0,0,0.03711319,0.140016677,0.129841816,257500,210.8927109,1
8,2/11/1993,26.58046602,26.78450309,26.58046602,26.67321014,19500,0,0,0.129833221,0.489136035,0.204037073,-360100,-94.8630137,1
9,2/12/1993,26.63612245,26.63612245,26.46918297,26.46918297,42500,0,0,-0.204027176,-0.764914215,0.166939486,23000,117.9487179,0
10,2/16/1993,26.39498272,26.39498272,25.76432256,25.80142021,374800,0,0,-0.667762756,-2.522793231,0.630660163,332300,781.8823529,0
11,2/17/1993,25.8014258,25.83852347,25.69013281,25.78287697,210900,0,0,-0.018543243,-0.07186908,0.148390659,-163900,-43.72998933,0
12,2/18/1993,26.07965043,26.07965043,25.41189267,25.76432037,378100,0,0,-0.018556595,-0.071972553,0.667757763,167200,79.27927928,0
13,2/19/1993,25.76431726,25.85706139,25.72721961,25.85706139,34900,0,0,0.092741013,0.359959088,0.129841772,-343200,-90.76963766,1
14,2/22/1993,25.93125358,25.98690004,25.85705829,25.9498024,513600,0,0,0.092741013,0.35866803,0.129841756,478700,1371.633238,1
15,2/23/1993,26.0240052,26.04255403,25.80141927,25.93126106,373700,0,0,-0.018541336,-0.071450779,0.24113476,-139900,-27.23909657,0
16,2/24/1993,25.94981423,26.26514435,25.94981423,26.26514435,26300,0,0,0.333883286,1.287570569,0.315330123,-347400,-92.9622692,1
17,2/25/1993,26.24658641,26.33933053,26.19093994,26.32078171,44500,0,0,0.05563736,0.211829636,0.148390595,18200,69.20152091,1
18,2/26/1993,26.37644182,26.37644182,26.22805115,26.35789299,66200,0,0,0.037111282,0.140996125,0.148390671,21700,48.76404494,1
19,3/1/1993,26.45062703,26.45062703,26.24658994,26.28368759,66500,0,0,-0.074205399,-0.281530085,0.204037095,300,0.453172205,0
20,3/2/1993,26.30223365,26.67321014,26.265136,26.67321014,182400,0,0,0.389522552,1.481993541,0.408074147,115900,174.2857143,1
21,3/3/1993,26.71032195,26.80306612,26.67322428,26.78451729,280100,0,0,0.111307144,0.417299394,0.129841843,97700,53.56359649,1
22,3/4/1993,26.8216043,26.8216043,26.63611603,26.63611603,89500,0,0,-0.14840126,-0.554056132,0.185488273,-190600,-68.04712603,0
23,3/5/1993,26.67320355,26.78449647,26.54336181,26.56191063,40000,0,0,-0.074205399,-0.27858941,0.241134664,-49500,-55.30726257,0
24,3/8/1993,26.61755417,27.15546989,26.61755417,27.15546989,50800,0,0,0.593559265,2.234625639,0.537915729,10800,27,1
25,3/9/1993,27.09984562,27.11839446,27.00710146,27.06274796,169300,0,0,-0.092721939,-0.34144848,0.111293001,118500,233.2677165,0
26,3/10/1993,27.06272741,27.11837387,26.9514345,27.11837387,194400,0,0,0.055625916,0.205544225,0.166939374,25100,14.8257531,1
27,3/11/1993,27.13692402,27.2111193,27.00708228,27.04417992,70900,0,0,-0.074193954,-0.273592933,0.204037023,-123500,-63.52880658,0
28,3/12/1993,26.82161483,26.84016366,26.59902881,26.76596832,643600,0,0,-0.278211594,-1.028730006,0.24113485,572700,807.7574048,0
29,3/15/1993,26.74741091,26.89580154,26.74741091,26.89580154,310800,0,0,0.129833221,0.485068277,0.148390629,-332800,-51.70913611,1
30,3/16/1993,26.89580154,26.96999686,26.89580154,26.89580154,30800,0,0,0,0,0.074195315,-280000,-90.09009009,0
31,3/17/1993,26.8586969,26.8586969,26.69175749,26.72885513,21800,0,0,-0.166946411,-0.620715508,0.166939414,-9000,-29.22077922,0
32,3/18/1993,26.84015506,27.00709452,26.84015506,26.89580154,59300,0,0,0.166946411,0.62459245,0.166939458,37500,172.0183486,1
33,3/19/1993,27.00418251,27.00418251,26.85509109,26.85509109,66900,0.213,0,-0.040710449,-0.151363584,0.149091415,7600,12.81618887,0
34,3/22/1993,26.59419601,26.76192395,26.57555957,26.70601463,183400,0,0,-0.149076462,-0.55511434,0.186364373,116500,174.1405082,0
35,3/23/1993,26.78054782,26.79918425,26.72463854,26.76191139,55200,0,0,0.055896759,0.209304008,0.074545714,-128200,-69.90185387,1
36,3/24/1993,26.72463854,26.87372996,26.59418354,26.76191139,37200,0,0,0,0,0.279546428,-18000,-32.60869565,0
37,3/25/1993,26.78055218,26.98555293,26.74327932,26.92964363,110100,0,0,0.167732239,0.626757321,0.242273611,72900,195.9677419,1
38,3/26/1993,26.9109916,26.92962802,26.76190023,26.78053665,101500,0,0,-0.149106979,-0.553690875,0.167727787,-8600,-7.811080836,0
39,3/29/1993,26.79918807,27.02282524,26.79918807,26.89237022,87100,0,0,0.111833572,0.417592724,0.223637174,-14400,-14.18719212,1
40,3/30/1993,26.92965941,26.9669323,26.89238653,26.9669323,56000,0,0,0.074562073,0.277261067,0.07454577,-31100,-35.70608496,1
41,3/31/1993,27.04146441,27.11601014,26.94828224,26.94828224,111600,0,0,-0.018650055,-0.069158979,0.167727898,55600,99.28571429,0
42,4/1/1993,26.98554608,26.98554608,26.79918181,26.85509109,129500,0,0,-0.093191147,-0.345814794,0.186364269,17900,16.03942652,0
43,4/2/1993,26.63146102,26.63146102,26.29600525,26.29600525,59400,0,0,-0.559085846,-2.081861663,0.335455772,-70100,-54.13127413,0
44,4/5/1993,26.50100599,26.50100599,26.35191454,26.42646027,172200,0,0,0.130455017,0.496102035,0.149091454,112800,189.8989899,1
45,4/6/1993,26.48237805,26.48237805,26.27737724,26.35192299,129700,0,0,-0.074537277,-0.282055472,0.205000815,-42500,-24.68060395,0
46,4/7/1993,26.38917816,26.44508743,26.33326888,26.44508743,28000,0,0,0.093164444,0.353539451,0.111818552,-101700,-78.41171935,1
47,4/8/1993,26.55691885,26.55691885,26.29600877,26.40782738,180800,0,0,-0.037260056,-0.140895944,0.26091008,152800,545.7142857,0
48,4/12/1993,26.66871813,26.79917307,26.63144529,26.78053665,348500,0,0,0.372709274,1.411359098,0.167727787,167700,92.75442478,1
49,4/13/1993,26.76191439,26.92964227,26.74327796,26.83646011,146100,0,0,0.055923462,0.208821289,0.186364306,-202400,-58.07747489,1
50,4/14/1993,26.85509791,26.87373434,26.78055218,26.79918861,119600,0,0,-0.0372715,-0.138883815,0.093182158,-26500,-18.13826146,0
51,4/15/1993,26.78055218,26.85509791,26.68737002,26.79918861,148600,0,0,0,0,0.167727884,29000,24.24749164,0
52,4/16/1993,26.81782505,26.85509791,26.76191575,26.79918861,47900,0,0,0,0,0.093182158,-100700,-67.76581427,0
53,4/19/1993,26.79919081,26.87373654,26.66873577,26.68737221,157000,0,0,-0.111816406,-0.417238029,0.205000764,109100,227.7661795,0
54,4/20/1993,26.65010318,26.68737606,26.38919308,26.55692101,279500,0,0,-0.130451202,-0.488812467,0.298182973,122500,78.02547771,0
55,4/21/1993,26.61282048,26.61282048,26.46372905,26.53827477,67900,0,0,-0.01864624,-0.070212357,0.149091431,-211600,-75.70661896,0
