,Time,Open,High,Low,Last,Volume
28,5/5/08 9:59,141.2,141.26,141.14,141.18,451000.0
88,5/5/08 10:59,140.59,140.6,140.53,140.54,446700.0
148,5/5/08 11:59,140.9,140.9,140.83,140.85,190900.0
208,5/5/08 12:59,140.83,140.86,140.8,140.86,40600.0
268,5/5/08 13:59,140.49,140.53,140.44,140.52,409400.0
328,5/5/08 14:59,140.68,140.69,140.65,140.68,107500.0
388,5/5/08 15:59,140.76,140.82,140.7,140.79,1662000.0
418,5/6/08 9:59,139.94,139.97,139.92,139.95,456900.0
478,5/6/08 10:59,140.55,140.62,140.54,140.6,686200.0
538,5/6/08 11:59,140.72,140.83,140.71,140.82,417700.0
598,5/6/08 12:59,141.65,141.65,141.6,141.62,323000.0
658,5/6/08 13:59,141.62,141.62,141.59,141.6,343300.0
718,5/6/08 14:59,141.82,141.84,141.77,141.79,232800.0
778,5/6/08 15:59,141.84,142.18,141.76,142.08,3456700.0
808,5/7/08 9:59,141.73,141.73,141.67,141.69,162400.0
868,5/7/08 10:59,141.49,141.54,141.46,141.46,504700.0
928,5/7/08 11:59,141.17,141.17,141.11,141.15,247000.0
988,5/7/08 12:59,141.23,141.26,141.23,141.24,153300.0
1048,5/7/08 13:59,140.71,140.76,140.69,140.76,75500.0
1108,5/7/08 14:59,139.94,139.95,139.86,139.89,292900.0
1168,5/7/08 15:59,139.21,139.7,139.15,139.57,4513900.0
1198,5/8/08 9:59,139.7,139.74,139.68,139.74,386000.0
1258,5/8/08 10:59,139.42,139.42,139.35,139.35,232300.0
1318,5/8/08 11:59,139.75,139.8,139.68,139.69,176300.0
1378,5/8/08 12:59,139.56,139.6,139.55,139.59,186600.0
1438,5/8/08 13:59,140.21,140.32,140.21,140.29,881300.0
1498,5/8/08 14:59,139.55,139.56,139.45,139.54,162800.0
1558,5/8/08 15:59,139.81,139.9,138.0,139.22,3235800.0
1588,5/9/08 9:59,138.72,138.73,138.59,138.6,475900.0
1648,5/9/08 10:59,139.15,139.18,139.11,139.13,267700.0
1708,5/9/08 11:59,138.89,138.89,138.82,138.82,61100.0
1768,5/9/08 12:59,138.9,138.95,138.88,138.95,256000.0
1828,5/9/08 13:59,138.87,138.92,138.85,138.86,181600.0
1888,5/9/08 14:59,138.78,138.81,138.77,138.79,153900.0
1948,5/9/08 15:59,138.91,139.2,138.81,138.97,3022200.0
1978,5/12/08 9:59,138.94,139.02,138.94,139.01,180400.0
2038,5/12/08 10:59,139.51,139.54,139.46,139.53,330700.0
2098,5/12/08 11:59,139.86,139.88,139.83,139.87,137900.0
2158,5/12/08 12:59,140.0,140.0,139.93,139.94,1144200.0
2218,5/12/08 13:59,139.75,139.78,139.75,139.77,79000.0
2278,5/12/08 14:59,140.36,140.39,140.36,140.37,160300.0
2338,5/12/08 15:59,140.45,140.56,140.39,140.5,3504400.0
2368,5/13/08 9:59,140.24,140.25,140.22,140.22,419300.0
2428,5/13/08 10:59,139.9,139.92,139.88,139.92,215400.0
2488,5/13/08 11:59,140.06,140.15,140.05,140.13,379600.0
2548,5/13/08 12:59,140.17,140.17,140.12,140.13,42300.0
2608,5/13/08 13:59,140.29,140.36,140.28,140.3,198600.0
2668,5/13/08 14:59,140.63,140.64,140.59,140.6,256700.0
2728,5/13/08 15:59,140.48,140.55,140.37,140.49,2566200.0
2758,5/14/08 9:59,141.46,141.51,141.46,141.48,603000.0
2818,5/14/08 10:59,141.61,141.65,141.6,141.63,135500.0
2878,5/14/08 11:59,141.66,141.67,141.63,141.66,150200.0
2938,5/14/08 12:59,141.77,141.78,141.74,141.76,73100.0
2998,5/14/08 13:59,142.06,142.07,142.03,142.05,148100.0
3058,5/14/08 14:59,141.86,141.86,141.81,141.83,428300.0
3118,5/14/08 15:59,141.0,141.93,140.81,140.82,3015300.0
3148,5/15/08 9:59,141.11,141.2,141.1,141.2,327700.0
3208,5/15/08 10:59,141.36,141.37,141.31,141.33,112300.0
3268,5/15/08 11:59,141.26,141.3,141.26,141.29,176600.0
3327,5/15/08 12:59,141.69,141.73,141.69,141.71,176400.0
3387,5/15/08 13:59,141.73,141.74,141.67,141.68,249100.0
3447,5/15/08 14:59,141.99,142.0,141.88,141.92,255300.0
3507,5/15/08 15:59,142.39,142.62,142.33,142.55,4287100.0
3537,5/16/08 9:59,142.37,142.41,142.34,142.36,340900.0
3597,5/16/08 10:59,141.86,141.86,141.8,141.81,237900.0
3657,5/16/08 11:59,141.91,141.95,141.9,141.92,188300.0
3717,5/16/08 12:59,142.24,142.29,142.22,142.24,323600.0
3777,5/16/08 13:59,142.27,142.28,142.13,142.17,402700.0
3837,5/16/08 14:59,142.52,142.54,142.44,142.45,267900.0
3897,5/16/08 15:59,142.6,142.77,142.58,142.7,3091700.0
3927,5/19/08 9:59,143.05,143.07,143.01,143.06,142300.0
3987,5/19/08 10:59,143.42,143.47,143.39,143.44,156700.0
4047,5/19/08 11:59,143.93,143.94,143.89,143.91,294000.0
4107,5/19/08 12:59,143.9,143.93,143.88,143.92,76600.0
4167,5/19/08 13:59,143.7,143.71,143.66,143.68,432000.0
4227,5/19/08 14:59,143.21,143.24,143.2,143.24,68000.0
4287,5/19/08 15:59,142.85,143.13,142.81,143.08,3203700.0
4317,5/20/08 9:59,141.89,141.92,141.87,141.89,634100.0
4377,5/20/08 10:59,141.93,141.97,141.88,141.96,311400.0
4437,5/20/08 11:59,141.47,141.51,141.47,141.5,273900.0
4497,5/20/08 12:59,141.59,141.59,141.55,141.58,145500.0
4557,5/20/08 13:59,141.27,141.29,141.2,141.27,420400.0
4617,5/20/08 14:59,141.23,141.27,141.22,141.23,196600.0
4677,5/20/08 15:59,141.51,141.94,141.5,141.88,3424700.0
4707,5/21/08 9:59,141.74,141.74,141.64,141.66,655000.0
4767,5/21/08 10:59,141.2,141.23,141.05,141.09,779400.0
4827,5/21/08 11:59,141.46,141.47,141.43,141.43,93100.0
4887,5/21/08 12:59,141.55,141.57,141.52,141.55,100300.0
4947,5/21/08 13:59,140.85,140.9,140.8,140.89,633300.0
5007,5/21/08 14:59,139.7,139.75,139.68,139.74,746100.0
5067,5/21/08 15:59,139.27,139.51,139.09,139.43,6597200.0
5097,5/22/08 9:59,139.5,139.54,139.46,139.47,177000.0
5157,5/22/08 10:59,139.79,139.85,139.78,139.85,384300.0
5217,5/22/08 11:59,139.48,139.49,139.0,139.48,259000.0
5277,5/22/08 12:59,139.81,139.83,139.78,139.81,527700.0
5337,5/22/08 13:59,140.02,140.02,139.9,139.9,204700.0
5397,5/22/08 14:59,139.73,139.77,139.72,139.75,124600.0
5457,5/22/08 15:59,139.64,139.66,138.21,139.57,2455300.0
5487,5/23/08 9:59,138.59,138.6,138.52,138.57,583100.0
5547,5/23/08 10:59,138.14,138.28,138.13,138.27,826400.0
5607,5/23/08 11:59,138.01,138.06,137.96,138.05,199000.0
5667,5/23/08 12:59,137.63,137.66,137.57,137.66,1113600.0
5727,5/23/08 13:59,137.71,137.71,137.67,137.7,179000.0
5787,5/23/08 14:59,138.12,138.16,138.09,138.09,223500.0
5847,5/23/08 15:59,137.91,137.95,137.52,137.61,4661000.0
5877,5/27/08 9:59,138.07,138.14,138.06,138.13,201800.0
5937,5/27/08 10:59,138.31,138.39,138.28,138.33,174000.0
5997,5/27/08 11:59,137.69,137.72,137.63,137.66,498300.0
6057,5/27/08 12:59,138.03,138.08,138.03,138.06,84500.0
6117,5/27/08 13:59,138.18,138.21,138.16,138.19,170600.0
6177,5/27/08 14:59,138.73,138.75,138.68,138.73,164300.0
6237,5/27/08 15:59,138.75,138.83,138.65,138.73,2696800.0
6267,5/28/08 9:59,138.85,138.93,138.85,138.93,143900.0
6327,5/28/08 10:59,138.83,138.9,138.82,138.84,400200.0
6387,5/28/08 11:59,138.44,138.46,138.36,138.38,381900.0
6447,5/28/08 12:59,138.54,138.59,138.54,138.54,388600.0
6507,5/28/08 13:59,138.51,138.52,138.47,138.52,202400.0
6567,5/28/08 14:59,138.58,138.6,138.55,138.57,87800.0
6627,5/28/08 15:59,139.3,139.54,139.28,139.35,2375700.0
6657,5/29/08 9:59,139.54,139.55,139.48,139.52,203200.0
6717,5/29/08 10:59,140.03,140.04,139.98,139.98,182700.0
6777,5/29/08 11:59,140.29,140.29,140.27,140.27,154500.0
6837,5/29/08 12:59,140.66,140.68,140.65,140.67,142300.0
6897,5/29/08 13:59,140.63,140.64,140.52,140.56,351300.0
6957,5/29/08 14:59,140.35,140.38,140.31,140.37,307600.0
7017,5/29/08 15:59,140.16,140.22,139.96,140.0,3442800.0
7047,5/30/08 9:59,140.22,140.25,140.12,140.19,711300.0
7107,5/30/08 10:59,140.29,140.32,140.28,140.31,80100.0
7167,5/30/08 11:59,140.46,140.48,140.45,140.48,148700.0
7227,5/30/08 12:59,140.44,140.46,140.43,140.46,25700.0
7287,5/30/08 13:59,140.56,140.59,140.56,140.57,19400.0
7347,5/30/08 14:59,140.62,140.63,140.58,140.59,330700.0
7407,5/30/08 15:59,140.25,140.35,139.94,140.26,8085700.0
7437,6/2/08 9:59,139.27,139.29,139.25,139.27,232900.0
7497,6/2/08 10:59,138.99,139.01,138.97,139.0,169200.0
7557,6/2/08 11:59,139.0,139.01,138.96,138.98,161100.0
7617,6/2/08 12:59,138.13,138.16,138.06,138.1,384800.0
7677,6/2/08 13:59,138.36,138.45,138.34,138.44,323600.0
7737,6/2/08 14:59,138.53,138.58,138.41,138.43,501400.0
7797,6/2/08 15:59,138.9,138.93,138.75,138.86,2647400.0
7827,6/3/08 9:59,139.02,139.02,138.95,138.96,438300.0
7887,6/3/08 10:59,139.27,139.37,139.26,139.29,932000.0
7947,6/3/08 11:59,139.53,139.58,139.51,139.57,225000.0
8007,6/3/08 12:59,139.0,139.07,138.99,139.06,208900.0
8067,6/3/08 13:59,137.81,137.93,137.78,137.87,900600.0
